_id,Date,Total calls handled,Total calls coded,Code 1A - Referral to a Sleeping/Resting Space,Code 1B - External Transfer to AWHL,Code 1C - Referral to Eviction Prevention Service,Code 1D - Declined Shelter/Resting Space,Code 2A - Internal Transfer to CI,Code 2B - External Transfer - Homelessness-related,Code 2C - Information - Homelessness & Prevention Services,Code 2D - Information - Non-Homelessness-related,Code 3A - Shelter Space Unavailable - Family,Code 3B - Shelter Space Unavailable - Individuals/Couples,Code 3C - Follow-up / Check on Placement,Code 4A - Dead Air,Code 4B - Disconnected - No Outcome
1,2020-11-03,390,301,44,0,1,16,0,8,66,11,0,91,23,24,17
2,2020-11-04,392,337,56,6,1,17,0,16,77,11,0,92,21,10,30
3,2020-11-05,378,315,66,4,0,15,1,10,92,5,0,61,28,11,22
4,2020-11-06,343,283,49,3,2,22,0,5,71,8,0,66,25,10,22
5,2020-11-07,255,168,52,0,0,9,0,4,41,9,0,26,4,7,16
6,2020-11-08,257,213,48,3,1,8,0,7,48,11,0,45,13,3,26
7,2020-11-09,331,261,52,2,3,16,3,11,92,2,0,37,9,12,22
8,2020-11-10,338,271,54,0,0,8,0,18,75,14,0,47,13,13,29
9,2020-11-11,356,290,59,1,1,13,0,13,62,12,0,56,32,11,30
10,2020-11-12,450,364,47,5,3,13,1,12,79,19,0,98,44,18,25
11,2020-11-13,419,333,32,1,0,6,0,11,71,13,0,100,57,12,30
12,2020-11-14,386,292,40,4,1,6,1,15,40,11,0,88,47,11,28
13,2020-11-15,372,282,40,4,0,1,0,13,57,4,0,93,48,4,18
14,2020-11-16,479,372,56,4,2,8,1,6,98,14,0,123,22,9,29
15,2020-11-17,507,414,68,3,1,11,0,19,111,13,0,89,42,17,40
16,2020-11-18,507,365,67,1,0,25,0,10,81,11,0,94,49,8,19
17,2020-11-19,420,320,51,3,1,23,1,6,91,11,0,62,42,9,20
18,2020-11-20,396,292,57,0,0,28,1,16,75,8,0,43,28,17,19
19,2020-11-21,320,243,53,5,0,25,0,13,53,6,0,43,12,6,27
20,2020-11-22,421,307,53,2,1,30,4,23,76,10,0,42,23,12,31
21,2020-11-23,377,297,53,4,4,13,0,9,74,7,0,58,41,17,17
22,2020-11-24,450,337,58,2,2,24,0,13,72,9,0,78,39,22,18
23,2020-11-25,446,356,59,8,2,16,0,22,70,9,0,85,44,7,34
24,2020-11-26,472,342,37,1,1,16,2,11,94,6,0,72,48,17,37
25,2020-11-27,382,289,52,5,2,12,2,21,89,16,0,46,16,7,21
26,2020-11-28,316,242,37,4,0,2,2,12,60,14,0,45,37,5,24
27,2020-11-29,296,211,39,7,0,11,2,5,44,12,0,38,19,8,26
28,2020-11-30,395,270,54,2,0,24,0,15,70,9,0,36,24,15,21
29,2020-12-01,427,340,63,2,1,12,1,11,89,16,0,59,44,17,25
30,2020-12-02,422,322,59,3,1,26,3,21,93,8,0,33,32,13,30
31,2020-12-03,348,286,60,3,1,18,3,16,75,10,0,39,17,16,28
32,2020-12-04,468,351,60,7,1,21,4,25,73,14,0,70,42,14,20
33,2020-12-05,373,279,56,1,0,15,2,15,60,5,0,47,33,20,25
34,2020-12-06,365,306,75,4,2,26,2,10,79,10,0,46,21,9,22
35,2020-12-07,450,406,58,6,0,25,6,16,113,10,0,65,65,15,27
36,2020-12-08,525,445,72,0,2,35,0,24,91,11,0,78,59,32,41
37,2020-12-09,412,350,75,1,2,21,2,20,89,8,0,57,49,11,15
38,2020-12-10,419,345,55,1,0,23,2,19,81,12,0,71,48,9,24
39,2020-12-11,386,319,77,7,1,21,0,11,64,12,0,62,22,15,27
40,2020-12-12,362,283,59,3,0,26,1,24,65,9,0,49,25,10,12
41,2020-12-13,401,318,56,3,0,23,2,15,71,9,0,63,41,9,26
42,2020-12-14,382,343,63,1,1,20,1,11,96,8,0,63,52,8,19
43,2020-12-15,426,362,82,5,0,24,0,14,99,6,0,51,43,11,27
44,2020-12-16,393,337,91,3,1,24,1,13,90,8,0,27,30,18,31
45,2020-12-17,385,319,61,1,3,30,1,11,79,8,0,43,19,23,40
46,2020-12-18,451,367,39,6,2,9,1,17,67,9,0,113,61,12,31
47,2020-12-19,426,376,51,0,0,14,3,25,80,11,0,64,85,7,36
48,2020-12-20,447,400,40,1,0,19,4,18,70,12,0,86,110,12,28
49,2020-12-21,387,352,55,2,1,19,0,15,80,10,0,66,56,18,30
50,2020-12-22,365,324,60,3,3,19,2,31,89,11,0,29,39,13,25
51,2020-12-23,309,288,74,7,0,26,1,25,79,3,0,17,20,19,17
52,2020-12-24,314,289,82,5,0,32,3,16,69,16,0,13,15,8,30
53,2020-12-25,277,235,59,1,0,23,2,27,44,8,0,23,19,8,21
54,2020-12-26,354,309,73,2,3,24,3,17,64,16,0,31,30,11,35
55,2020-12-27,336,294,60,3,0,17,0,20,68,14,0,50,28,9,25
56,2020-12-28,363,329,54,2,0,13,2,14,94,7,0,64,42,11,26
57,2020-12-29,396,349,87,6,1,33,2,16,74,25,0,31,28,14,32
58,2020-12-30,345,294,88,1,3,23,1,10,66,25,0,18,18,10,31
59,2020-12-31,360,315,83,2,2,25,2,14,76,8,0,32,31,7,33
60,2021-01-01,305,267,57,1,0,19,2,12,63,14,0,43,20,7,29
61,2021-01-02,319,299,64,0,0,12,2,13,59,10,0,61,42,8,28
62,2021-01-03,281,241,42,5,0,9,1,16,51,11,0,56,28,9,13
63,2021-01-04,379,333,70,3,0,23,4,19,84,17,0,53,29,17,14
64,2021-01-05,461,402,57,6,1,40,0,17,73,16,0,90,52,14,36
65,2021-01-06,442,404,66,1,1,11,3,15,82,12,0,92,71,8,42
66,2021-01-07,440,373,59,4,3,22,3,15,104,18,0,55,28,12,50
67,2021-01-08,475,421,45,3,0,16,0,20,88,11,0,110,75,22,31
68,2021-01-09,506,439,39,0,0,17,0,13,110,10,0,105,95,11,39
69,2021-01-10,477,403,45,0,2,18,1,21,51,9,0,85,115,16,40
70,2021-01-11,529,480,40,4,0,17,1,34,82,14,0,103,137,15,33
71,2021-01-12,499,447,42,1,1,13,2,17,82,15,0,102,111,23,38
72,2021-01-13,602,517,47,1,0,15,1,20,118,12,0,121,135,17,30
73,2021-01-14,576,526,28,8,3,13,0,20,107,10,0,120,182,8,27
74,2021-01-15,620,560,41,3,0,6,4,23,112,15,0,122,179,18,37
75,2021-01-16,475,426,27,3,1,14,1,11,43,16,0,117,149,12,32
76,2021-01-17,551,495,41,6,1,18,3,12,57,9,0,125,161,26,36
77,2021-01-18,540,466,69,3,1,21,2,17,86,18,0,102,95,17,35
78,2021-01-19,517,455,66,1,4,35,4,22,108,5,0,81,75,20,34
79,2021-01-20,461,407,55,0,0,34,4,14,81,12,0,76,86,11,34
80,2021-01-21,461,400,42,1,2,22,1,13,79,12,0,88,75,6,59
81,2021-01-22,448,398,75,1,3,19,0,20,95,13,0,43,67,20,42
82,2021-01-23,358,319,101,4,1,23,1,18,75,16,0,16,27,10,27
83,2021-01-24,284,247,58,2,0,22,3,11,50,18,0,20,18,15,30
84,2021-01-25,507,445,63,2,4,29,8,15,89,15,0,64,82,15,59
85,2021-01-26,503,452,55,1,0,24,2,14,86,8,0,81,130,19,32
86,2021-01-27,389,344,69,4,2,25,1,13,59,14,0,61,49,14,33
87,2021-01-28,350,316,83,2,2,37,2,10,86,11,0,23,26,13,21
88,2021-01-29,370,313,67,1,0,25,2,12,63,17,0,19,45,14,48
89,2021-01-30,288,239,53,1,0,23,1,12,75,12,0,18,20,9,15
90,2021-01-31,292,257,60,2,0,27,1,14,55,11,0,15,18,9,45
91,2021-02-01,423,368,58,3,3,30,2,24,105,17,0,27,38,14,47
92,2021-02-02,445,384,70,2,5,23,2,12,77,9,0,74,55,20,35
93,2021-02-03,491,433,55,4,3,12,0,20,65,19,0,98,95,23,39
94,2021-02-04,533,488,48,1,3,16,1,11,81,9,0,121,125,24,48
95,2021-02-05,479,404,61,4,0,12,1,10,69,20,0,79,92,17,39
96,2021-02-06,458,385,47,3,1,15,5,16,75,18,0,92,71,11,31
97,2021-02-07,386,341,67,2,0,18,2,13,61,16,0,76,53,6,27
98,2021-02-08,390,348,79,1,2,20,0,16,84,21,0,33,39,13,40
99,2021-02-09,462,409,79,6,0,38,8,15,85,15,0,58,52,11,42
100,2021-02-10,384,334,81,3,0,29,1,21,79,13,0,21,27,10,49
101,2021-02-11,452,391,78,1,1,23,2,27,90,10,0,46,42,26,45
102,2021-02-12,402,359,70,4,1,33,0,33,69,9,0,29,55,11,45
103,2021-02-13,358,305,42,4,0,10,3,25,62,9,0,57,48,14,31
104,2021-02-14,328,296,58,5,1,26,2,23,80,15,0,25,22,7,32
105,2021-02-15,364,315,67,5,0,38,0,23,87,5,0,12,24,19,35
106,2021-02-16,353,310,68,2,1,28,2,14,57,22,0,42,44,9,21
107,2021-02-17,436,380,53,0,2,27,2,29,80,16,0,68,63,8,32
108,2021-02-18,344,285,52,0,2,28,3,20,58,11,0,43,30,12,26
109,2021-02-19,376,318,60,2,0,20,0,29,83,8,0,42,39,7,28
110,2021-02-20,339,290,55,3,0,12,2,21,70,25,0,30,28,10,34
111,2021-02-21,383,338,52,1,0,16,0,8,66,23,0,71,50,18,33
112,2021-02-22,492,442,45,4,2,23,3,16,77,18,0,109,95,13,37
113,2021-02-23,483,423,52,2,0,23,3,22,63,15,0,95,104,13,31
