"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-01","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","126.5","","","","1"
"2013-02","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","127.7","","","","1"
"2013-03","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","128.1","","","","1"
"2013-04","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","128.7","","","","1"
"2013-05","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.5","","","","1"
"2013-06","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.8","","","","1"
"2013-07","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.6","","","","1"
"2013-08","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.4","","","","1"
"2013-09","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.5","","","","1"
"2013-10","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.3","","","","1"
"2013-11","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.5","","","","1"
"2013-12","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.1","","","","1"
"2014-01","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","129.9","","","","1"
"2014-02","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","130.8","","","","1"
"2014-03","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","133.1","","","","1"
"2014-04","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","132.2","","","","1"
"2014-05","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","132.8","","","","1"
"2014-06","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","132.3","","","","1"
"2014-07","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","132.9","","","","1"
"2014-08","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","132.7","","","","1"
"2014-09","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","132.9","","","","1"
