Date,CalgaryInflationRate
13-Jan,0
13-Feb,0.01
13-Mar,0.01
13-Apr,0.01
13-May,0.02
13-Jun,0.03
13-Jul,0.03
13-Aug,0.02
13-Sep,0.02
13-Oct,0.01
13-Nov,0.02
13-Dec,0.03
14-Jan,0.03
14-Feb,0.03
14-Mar,0.05
14-Apr,0.03
14-May,0.03
14-Jun,0.02
14-Jul,0.03
14-Aug,0.03
14-Sep,0.03
14-Oct,0.03
14-Nov,0.02
14-Dec,0.02
15-Jan,0.01
15-Feb,0.01
15-Mar,0
15-Apr,0.01
15-May,0
15-Jun,0.02
15-Jul,0.01
15-Aug,0.02
15-Sep,0.01
15-Oct,0.02
15-Nov,0.02
15-Dec,0.02
16-Jan,0.02
16-Feb,0.01
16-Mar,0.01
16-Apr,0.01
16-May,0.01
16-Jun,0.01
16-Jul,0.01
16-Aug,0.01
16-Sep,0
16-Oct,0
16-Nov,0
16-Dec,0.01
17-Jan,0.02
17-Feb,0.02
17-Mar,0.01
17-Apr,0.02
17-May,0.01
17-Jun,0.01
17-Jul,0.01
17-Aug,0.01
17-Sep,0.01
17-Oct,0.01
17-Nov,0.03
17-Dec,0.02
18-Jan,0.01
18-Feb,0.02
18-Mar,0.02
18-Apr,0.02
18-May,0.03
18-Jun,0.03
18-Jul,0.03
18-Aug,0.03
18-Sep,0.03
18-Oct,0.03
18-Nov,0.01
18-Dec,0.02
19-Jan,0.01
19-Feb,0.01
19-Mar,0.02
19-Apr,0.02
19-May,0.02
19-Jun,0.01
19-Jul,0.01
19-Aug,0.01
19-Sep,0.01
19-Oct,0.01
19-Nov,0.02
19-Dec,0.02
20-Jan,0.03
20-Feb,0.02
20-Mar,0.01
20-Apr,-0.01
20-May,0
20-Jun,0.02
20-Jul,0.01
20-Aug,0.01
20-Sep,0.01
20-Oct,0.01
20-Nov,0.01
20-Dec,0.01
21-Jan,0.01
21-Feb,0
21-Mar,0.02
21-Apr,0.03
21-May,0.03
21-Jun,0.03
21-Jul,0.04
21-Aug,0.05
21-Sep,0.04
21-Oct,0.04
21-Nov,0.04
21-Dec,0.05
22-Jan,0.05
22-Feb,0.06
22-Mar,0.07
22-Apr,0.07
22-May,0.08
22-Jun,0.1
22-Jul,0.08
22-Aug,0.07
22-Sep,0.07
22-Oct,0.07
22-Nov,0.07
22-Dec,0.07
23-Jan,0.06
23-Feb,0.04
23-Mar,0.04
23-Apr,0.05
23-May,0.03
23-Jun,0.02
23-Jul,0.03
23-Aug,0.05
23-Sep,0.04
23-Oct,0.03
23-Nov,0.03
23-Dec,0.04
24-Jan,0.04
24-Feb,0.05
24-Mar,0.04
24-Apr,0.04
24-May,0.04
24-Jun,0.04
24-Jul,0.03
24-Aug,0.02
24-Sep,0.02
24-Oct,0.03
24-Nov,0.03
24-Dec,0.02
