"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-01","2017","01","01","","-7.9","","-18.7","","-13.3","","31.3","","0.0","","","M","","M","1.1","","7","","1","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-02","2017","01","02","","-14.8","","-26.3","","-20.6","","38.6","","0.0","","","M","","M","0.5","","6","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-03","2017","01","03","","-16.2","","-23.5","","-19.9","","37.9","","0.0","","","M","","M","0.2","","7","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-04","2017","01","04","","-8.4","","-18.3","","-13.4","","31.4","","0.0","","","M","","M","0.0","","6","","34","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-05","2017","01","05","","-4.0","","-17.0","","-10.5","","28.5","","0.0","","","M","","M","0.6","","7","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-06","2017","01","06","","-10.1","","-17.9","","-14.0","","32.0","","0.0","","","M","","M","1.1","","8","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-07","2017","01","07","","-15.3","","-19.8","","-17.6","","35.6","","0.0","","","M","","M","0.2","","10","","32","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-08","2017","01","08","","-17.6","","-20.0","","-18.8","","36.8","","0.0","","","M","","M","0.2","","8","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-09","2017","01","09","","-20.0","","-23.8","","-21.9","","39.9","","0.0","","","M","","M","4.0","","12","","35","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-10","2017","01","10","","-16.4","","-25.5","","-21.0","","39.0","","0.0","","","M","","M","0.7","","12","","4","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-11","2017","01","11","","-7.3","","-24.6","","-16.0","","34.0","","0.0","","","M","","M","0.0","","11","","33","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-12","2017","01","12","","-3.4","","-20.3","","-11.9","","29.9","","0.0","","","M","","M","0.0","","9","","28","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-13","2017","01","13","","-3.5","","-14.4","","-9.0","","27.0","","0.0","","","M","","M","0.3","","9","","28","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-14","2017","01","14","","5.3","","-14.6","","-4.7","","22.7","","0.0","","","M","","M","0.0","","8","","27","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-15","2017","01","15","","6.2","","-3.2","","1.5","","16.5","","0.0","","","M","","M","0.0","","9","","27","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-16","2017","01","16","","7.7","","-7.1","","0.3","","17.7","","0.0","","","M","","M","0.0","","8","","26","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-17","2017","01","17","","10.5","","0.7","","5.6","","12.4","","0.0","","","M","","M","0.0","","7","","23","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-18","2017","01","18","","8.3","","-4.2","","2.1","","15.9","","0.0","","","M","","M","0.0","","2","","11","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-19","2017","01","19","","8.3","","-1.9","","3.2","","14.8","","0.0","","","M","","M","0.0","","2","","28","","52",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-20","2017","01","20","","7.4","","-8.9","","-0.8","","18.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-21","2017","01","21","","1.0","","-11.1","","-5.1","","23.1","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-22","2017","01","22","","-3.4","","-6.4","","-4.9","","22.9","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-23","2017","01","23","","-3.6","","-7.7","","-5.7","","23.7","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-24","2017","01","24","","0.5","","-12.5","","-6.0","","24.0","","0.0","","","M","","M","0.2","","1","","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-25","2017","01","25","","1.5","","-8.7","","-3.6","","21.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-26","2017","01","26","","4.5","","-9.4","","-2.5","","20.5","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-27","2017","01","27","","6.7","","-9.1","","-1.2","","19.2","","0.0","","","M","","M","0.0","","0","T","28","","57",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-28","2017","01","28","","9.9","","4.9","","7.4","","10.6","","0.0","","","M","","M","0.0","","0","T","26","","65",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2017-01-29","2017","01","29","","13.3","","3.6","","8.5","","9.5","","0.0","","","M","","M","0.0","","1","","26","","83",""
