Date,Population 6,Labour force 7,Employment 8,Unemployment 9,Unemployment rate 10,Participation rate 11,Employment rate 12
21-Jan,"5,460.10","3,654.50","3,208.50",446,12.2,66.9,58.8
21-Feb,"5,459.60","3,642.60","3,230.80",411.8,11.3,66.7,59.2
21-Mar,"5,458.50","3,604.40","3,282.40",321.9,8.9,66,60.1
21-Apr,"5,456.90","3,594.50","3,228.30",366.2,10.2,65.9,59.2
21-May,"5,455.10","3,578.80","3,190.00",388.8,10.9,65.6,58.5
21-Jun,"5,456.90","3,632.50","3,273.90",358.5,9.9,66.6,60
21-Jul,"5,460.00","3,678.50","3,337.20",341.3,9.3,67.4,61.1
21-Aug,"5,464.80","3,769.00","3,436.70",332.3,8.8,69,62.9
21-Sep,"5,469.10","3,781.60","3,466.70",314.9,8.3,69.1,63.4
21-Oct,"5,475.00","3,778.40","3,492.00",286.4,7.6,69,63.8
21-Nov,"5,481.90","3,815.50","3,538.20",277.3,7.3,69.6,64.5
21-Dec,"5,488.90","3,834.20","3,554.50",279.6,7.3,69.9,64.8
22-Jan,"5,494.60","3,759.00","3,427.90",331.1,8.8,68.4,62.4
22-Feb,"5,500.00","3,769.40","3,512.80",256.6,6.8,68.5,63.9
22-Mar,"5,505.30","3,738.20","3,504.30",233.9,6.3,67.9,63.7
22-Apr,"5,510.70","3,751.70","3,507.50",244.1,6.5,68.1,63.6
22-May,"5,516.70","3,719.30","3,500.80",218.4,5.9,67.4,63.5
22-Jun,"5,523.60","3,719.00","3,504.60",214.3,5.8,67.3,63.4
22-Jul,"5,531.80","3,720.90","3,511.80",209.1,5.6,67.3,63.5
22-Aug,"5,541.00","3,741.60","3,523.30",218.3,5.8,67.5,63.6
22-Sep,"5,550.80","3,705.20","3,478.40",226.8,6.1,66.8,62.7
22-Oct,"5,562.00","3,737.00","3,497.00",240,6.4,67.2,62.9
22-Nov,"5,572.60","3,748.20","3,502.80",245.4,6.5,67.3,62.9
22-Dec,"5,583.00","3,734.50","3,513.10",221.4,5.9,66.9,62.9
23-Jan,"5,596.20","3,777.60","3,547.80",229.7,6.1,67.5,63.4
23-Feb,"5,612.60","3,800.50","3,586.30",214.2,5.6,67.7,63.9
23-Mar,"5,629.50","3,832.40","3,612.50",219.9,5.7,68.1,64.2
23-Apr,"5,645.30","3,817.00","3,604.40",212.7,5.6,67.6,63.8
23-May,"5,663.30","3,850.60","3,610.70",239.9,6.2,68,63.8
23-Jun,"5,683.80","3,891.60","3,644.10",247.5,6.4,68.5,64.1
23-Jul,"5,704.80","3,892.00","3,639.80",252.2,6.5,68.2,63.8
23-Aug,"5,727.30","3,872.70","3,617.60",255.1,6.6,67.6,63.2
23-Sep,"5,747.80","3,900.60","3,644.60",256,6.6,67.9,63.4
23-Oct,"5,770.10","3,894.50","3,626.70",267.8,6.9,67.5,62.9
23-Nov,"5,792.20","3,891.80","3,629.60",262.2,6.7,67.2,62.7
23-Dec,"5,815.00","3,892.80","3,622.30",270.5,6.9,66.9,62.3
24-Jan,"5,839.60","3,904.50","3,623.10",281.3,7.2,66.9,62
24-Feb,"5,863.20","3,928.60","3,634.70",293.9,7.5,67,62
24-Mar,"5,885.70","3,958.80","3,648.80",310.1,7.8,67.3,62
24-Apr,"5,910.80","3,974.10","3,661.90",312.2,7.9,67.2,62
24-May,"5,934.80","3,991.80","3,678.30",313.5,7.9,67.3,62
24-Jun,"5,956.80","3,967.90","3,664.10",303.7,7.7,66.6,61.5
24-Jul,"5,980.60","3,971.50","3,665.80",305.7,7.7,66.4,61.3
24-Aug,"6,001.90","4,027.90","3,676.20",351.7,8.7,67.1,61.3
24-Sep,"6,021.10","3,992.60","3,683.00",309.6,7.8,66.3,61.2
24-Oct,"6,036.60","4,001.70","3,696.80",304.9,7.6,66.3,61.2
24-Nov,"6,048.70","4,053.50","3,686.70",366.8,9,67,61
24-Dec,"6,060.40","4,058.00","3,711.20",346.8,8.5,67,61.2
25-Jan,"6,070.90","4,100.10","3,742.70",357.4,8.7,67.5,61.6
25-Feb,"6,079.70","4,113.60","3,763.40",350.2,8.5,67.7,61.9
25-Mar,"6,089.20","4,091.30","3,732.80",358.4,8.8,67.2,61.3
