,OCCUPANCY_DATE,ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,PROGRAM_ID,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,OCCUPIED_BEDS,CAPACITY_ACTUAL_ROOM,OCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS,Max Temp (Â°C),Min Temp (Â°C),Mean Temp (Â°C),Heat Deg Days (Â°C),Cool Deg Days (Â°C),Total Precip (mm),Snow on Grnd (cm),Inflation_Rate_Change,YEAR_MONTH,Population,Unemployment rate 10,Participation rate 11,Employment rate 12,GEO,CPI_Type,CPI_Value
0,2021-01-01,COSTI Immigrant Services,COSTI Reception Centre,COSTI/City North York West Hotel Program,1677 Wilson Ave,M3L 1A5,15371,Room Based Capacity,,,29.0,26.0,,89.66,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items,139.5
1,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",177.2
2,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Recreation, education and reading",117.3
3,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Health and personal care,130.1
4,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Gasoline,162.5
5,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Transportation,145.3
6,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Clothing and footwear,88.3
7,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Household operations, furnishings and equipment",126.6
8,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Shelter,151.1
9,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Food,157.1
10,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items,139.5
11,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Services,155.7
12,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Goods,121.5
13,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Energy,150.4
14,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding energy,138.7
15,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding food and energy,135.2
16,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",177.2
17,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Recreation, education and reading",117.3
18,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Health and personal care,130.1
19,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Gasoline,162.5
20,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Transportation,145.3
21,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Clothing and footwear,88.3
22,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Household operations, furnishings and equipment",126.6
23,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Shelter,151.1
24,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Food,157.1
25,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,13151,Bed Based Capacity,13.0,10.0,,,76.92,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items,139.5
